Language,Task,Strategy,Likert
Spanish,A,Strat1,4
Spanish,A,Strat2,3
Spanish,A,Strat3,3
Spanish,A,Strat4,3
Spanish,A,Strat5,5
Spanish,A,Strat6,3
Spanish,A,Strat7,3
Spanish,A,Strat8,4
Spanish,A,Strat9,2
Spanish,A,Strat10,5
Spanish,A,Strat1,4
Spanish,A,Strat2,5
Spanish,A,Strat3,4
Spanish,A,Strat4,3
Spanish,A,Strat5,4
Spanish,A,Strat6,1
Spanish,A,Strat7,2
Spanish,A,Strat8,4
Spanish,A,Strat9,1
Spanish,A,Strat10,4
Spanish,A,Strat1,4
Spanish,A,Strat2,2
Spanish,A,Strat3,1
Spanish,A,Strat4,3
Spanish,A,Strat5,5
Spanish,A,Strat6,2
Spanish,A,Strat7,5
Spanish,A,Strat8,4
Spanish,A,Strat9,2
Spanish,A,Strat10,3
Spanish,A,Strat1,5
Spanish,A,Strat2,4
Spanish,A,Strat3,2
Spanish,A,Strat4,5
Spanish,A,Strat5,5
Spanish,A,Strat6,2
Spanish,A,Strat7,4
Spanish,A,Strat8,3
Spanish,A,Strat9,1
Spanish,A,Strat10,4
Spanish,A,Strat1,5
Spanish,A,Strat2,3
Spanish,A,Strat3,5
Spanish,A,Strat4,2
Spanish,A,Strat5,5
Spanish,A,Strat6,2
Spanish,A,Strat7,5
Spanish,A,Strat8,2
Spanish,A,Strat9,3
Spanish,A,Strat10,5
Spanish,A,Strat1,5
Spanish,A,Strat2,4
Spanish,A,Strat3,1
Spanish,A,Strat4,2
Spanish,A,Strat5,5
Spanish,A,Strat6,1
Spanish,A,Strat7,1
Spanish,A,Strat8,2
Spanish,A,Strat9,1
Spanish,A,Strat10,1
Spanish,A,Strat1,4
Spanish,A,Strat2,4
Spanish,A,Strat3,1
Spanish,A,Strat4,2
Spanish,A,Strat5,5
Spanish,A,Strat6,1
Spanish,A,Strat7,4
Spanish,A,Strat8,4
Spanish,A,Strat9,1
Spanish,A,Strat10,5
Spanish,A,Strat1,4
Spanish,A,Strat2,4
Spanish,A,Strat3,4
Spanish,A,Strat4,4
Spanish,A,Strat5,5
